	Gene	withIntegrins	withActo	withBoth
0	URS00005B3525_9606	False	False	False
1	URS00000E5433_9606	False	False	False
2	CSRP3	True	True	True
3	AKAP13	True	True	True
4	NOX4	False	False	False
5	MYBPC2	False	False	False
6	IGF1	False	True	True
7	GATA6	False	False	False
8	TSC1	False	False	False
9	IGSF22	False	False	False
10	AGTR2	True	True	True
11	ARID1A	False	False	False
12	CXADR	False	False	False
13	DLL1	False	False	False
14	MYH11	False	False	False
15	SOX6	False	False	False
16	MAP2K4	False	False	False
17	YY1	False	False	False
18	FHL2	True	True	True
19	ACTN2	True	True	True
20	SIK1	False	False	False
21	MESP1	False	False	False
22	ADRA1A	True	True	True
23	ARRB2	False	False	False
24	ACVR1	True	True	True
25	MTOR	False	False	False
26	ZMPSTE24	False	False	False
27	CTDP1	False	False	False
28	MYL2	True	True	True
29	MYBPC3	True	True	True
30	OBSL1	False	False	False
31	PDLIM5	False	False	False
32	WNT8A	False	False	False
33	VEGFA	False	False	False
34	DKK1	False	False	False
35	KAT2A	False	False	False
36	CAV3	True	True	True
37	SGCD	True	True	True
38	RGS2	False	False	False
39	MYO18B	False	False	False
40	MYOCD	True	True	True
41	CDK1	True	True	True
42	AGT	False	False	False
43	NEBL	True	True	True
44	CCNB1	False	False	False
45	GATA4	True	True	True
46	DDX39B	False	True	True
47	TTN	True	True	True
48	NRAP	False	False	False
49	CACYBP	False	False	False
50	WNT3A	False	False	False
51	PIN1	False	False	False
52	PDGFRB	False	False	False
53	NPPA	False	False	False
54	TGFB1	False	False	False
55	TBX5	True	True	True
56	LMNA	True	True	True
57	HAMP	False	False	False
58	GREM1	False	False	False
59	BMP10	False	False	False
60	TCAP	True	True	True
61	RXRA	False	False	False
62	PAK1	False	False	False
63	TBX3	False	False	False
64	SLC9A1	True	False	False
65	AKAP6	False	True	True
66	BMP4	True	True	True
67	BMP2	True	True	True
68	SRF	True	True	True
69	NKX2-6	False	False	False
70	GSK3A	False	True	True
71	ALPK3	False	False	False
72	RGS4	False	False	False
73	MYLK3	False	False	False
74	SORBS2	True	True	True
75	IFT20	False	False	False
76	PDGFRA	False	False	False
77	HNRNPU	False	False	False
78	SMAD4	False	False	False
79	ATG5	False	False	False
80	RBPJ	True	True	True
81	SGCB	False	False	False
82	NEB	True	True	True
83	EFNB2	False	False	False
84	MYBPC1	True	True	True
85	MEF2A	True	True	True
86	MEF2C	True	True	True
87	MYOM2	False	False	False
88	MYOM3	False	False	False
89	PARP2	False	False	False
90	RARB	False	False	False
91	NKX2-5	True	True	True
92	CALR	False	False	False
93	SLC8A1	False	False	False
94	FHOD3	False	False	False
95	PPARA	False	False	False
96	NRG1	False	False	False
97	MYH6	False	False	False
98	MAML1	True	True	True
99	MYH10	False	False	False
100	URS00002C6949_9606	False	False	False
101	URS00001DC04F_9606	False	False	False
102	URS000013D17D_9606	False	False	False
103	URS000014D9C1_9606	False	False	False
104	URS00002524E1_9606	False	False	False
105	URS0000029EBD_9606	False	False	False
106	URS000006FDD4_9606	False	False	False
107	URS0000183BED_9606	False	False	False
108	URS000029D9F1_9606	False	False	False
109	KDM6B	False	False	False
110	WT1	True	True	True
111	FRS2	True	False	False
112	PROX1	False	False	False
113	G6PD	False	False	False
114	LRRC10	False	False	False
115	ACTC1	False	False	False
116	URS0000554A4F_9606	False	False	False
117	URS000059273E_9606	False	False	False
118	URS00005540D2_9606	False	False	False
119	URS00005CACA0_9606	False	False	False
120	URS00000C7662_9606	False	False	False
121	CBY1	False	False	False
122	RARA	False	False	False
123	FZD7	False	False	False
124	BVES	False	False	False
125	ITGB1	True	True	True
126	HEY2	False	False	False
127	MYOM1	False	False	False
128	EDN1	False	False	False
