	prize	terminal	type	degree	betweenness	louvain_clusters	location	general_process	specific_process	general_function	specific_function	node_type	F30_N30.l2fc	nodereach
ACO1	12.820512820512821	True	protein	1	0.0	10	extracellular	cellular process	cellular homeostasis	binding	organic cyclic compound binding	actomyosin	-0.475355791025106	act5
ACTN1	0.0	False	protein	22	0.43302832244008654	3	plasma_membrane	cellular process	cellular component organization	binding	protein binding	other	-0.0890998386157809	both
ACTN2	23.2058898036043	True	protein	9	0.5282788671023967	3	plasma_membrane	biological regulation	regulation of biological process	binding	protein binding	GO	1.3205889803604298	both
ACVR1	10.739214329247433	True	protein	7	0.0	5	protein complex	biological regulation	regulation of biological process	binding	protein binding	GO	0.0739214329247433	int5
ADAM12	0.0	False	protein	4	0.5061002178649238	3	nucleus	cellular process	syncytium formation	binding	protein binding	other	2.50092733157457	act5
ADRA1A	88.9546937124401	True	protein	1	0.0	4	nucleus	biological regulation	regulation of biological process	molecular transducer	signaling receptor	GO	7.89546937124401	act5
ADRA1B	0.0	False	protein	2	0.014596949891067537	4	nucleus	biological regulation	regulation of biological process	binding	protein binding	other	0.6582504065064629	act5
AGTR2	34.4847199344379	True	protein	2	0.0	0	plasma_membrane	biological regulation	regulation of biological process	binding	protein binding	GO	2.44847199344379	int5
AKAP13	19.348777997525232	True	protein	9	0.0	0	cytoplasm	biological regulation	regulation of biological process	binding	protein binding	GO	0.934877799752523	int5
AKAP6	26.718742728029703	True	protein	1	0.0	12	ER	biological regulation	regulation of biological process	binding	protein binding	GO	1.67187427280297	act5
ANKRD1	0.0	False	protein	4	0.011176470588235295	3	nucleus	cellular process	cellular response to stimulus	binding	protein binding	other	-0.16384794153463098	none
ANKRD2	0.0	False	protein	5	0.08431372549019607	10	nucleus	biological regulation	regulation of biological process	binding	protein binding	other	1.78340243310054	act5
AP2M1	0.0	False	protein	34	0.0289760348583878	4	vesicle	cellular process	cellular component organization	binding	protein binding	other	0.364166205910349	act5
