protein1	protein2	cost
MAP2K4	FLNC	13.873404253923432
MAP2K4	ARRB2	31.749015732775085
MAP2K4	MAPK8	32.31098884280702
MAP2K4	AKT1	49.85512035121821
MAP2K4	MAPK8IP3	13.612511605558574
MAP2K4	MAPK14	31.46426544510454
MAP2K4	MAP3K3	11.230946546909177
MAP2K4	MAPK10	14.696938456699066
MAP2K4	ITCH	35.749125863438955
MAP2K4	MAPK9	20.963019732240127
MAP2K4	MAP3K1	23.237900077244497
MAP2K4	MAP3K2	16.97056274847714
MAP2K4	MAP3K5	15.250712170747027
MAP2K4	MAP3K7	27.837596708140136
MAP2K4	GEMIN5	15.805217888928219
MAP2K4	BLNK	15.297058540778352
MAP2K4	MAP3K4	11.156079594782323
MAP2K4	NBR1	14.656510696440657
FLNC	INPPL1	10.153537446598104
FLNC	SIAH2	15.95765771784812
FLNC	AGR2	45.77989838842726
FLNC	SGCD	2.262110854168745
FLNC	SGCG	1.828177863142148
FLNC	MYOZ1	4.582832006586965
FLNC	FBXW11	28.294087036817462
FLNC	KCND2	8.651587584398941
FLNC	TRIM54	4.504728176041973
FLNC	PHLDB2	3.760748518296729
FLNC	FBXL22	3.512239177205607
FLNC	SYNPO2	3.915177657132838
FLNC	XIRP1	4.39191840337147
GATA2	PML	26.898460925732003
GATA2	SMAD4	21.874779343208004
GATA2	ZBTB16	17.706041687521036
GATA2	LMO2	10.747159687641416
GATA2	FBXW7	20.734618035602065
GATA2	MED1	19.101850532436433
GATA2	SPI1	12.186133643056195
GATA2	POU1F1	6.422656363877153
GATA2	ZFPM1	4.974968227141859
PML	STAT3	57.29700924438721
PML	CTNNB1	123.17449737078928
PML	RB1	95.05975079758045
PML	EIF3K	26.648769659804227
PML	EGFR	163.28058172909857
PML	ZBTB16	57.72840328836494
PML	CREBBP	94.88965017284745
PML	PLCG1	56.96375491446336
PML	SUMO1	58.48305496888103
PML	DAXX	73.14129824122878
PML	CCNT1	41.802626527208815
PML	UBE2I	113.15511102589262
PML	RELA	95.50242884859922
PML	SKI	43.92472868350149
PML	EZH2	75.92925954391441
PML	MAPK1	86.33903892718348
PML	RXRA	64.88112413417834
PML	TP53	184.46484445658876
PML	GATA1	38.611992030636564
PML	USP11	44.00965012260474
PML	UBE3A	74.05336291851398
PML	RNF4	51.2930323540309
PML	PIAS2	36.908299572454176
PML	TDG	32.44056206708917
PML	CDKN2A	50.16958716224761
PML	HIRA	35.03981181123516
PML	ATXN1	52.00568986595374
PML	PIAS1	53.87523540878414
PML	STAT1	63.51505273851661
PML	NCOR2	61.66987858566803
PML	KAT5	68.7402442301117
PML	USP7	90.27576446060367
PML	SIAH2	45.700410800791026
PML	TP63	45.87788284628366
PML	MAPK11	24.776888543224867
PML	HDAC3	89.33434208905352
PML	HDAC2	108.80895301546869
PML	RARA	56.737546171359604
PML	TRIB3	39.73141201672798
PML	KLHL20	22.78885653737464
PML	MAP1LC3B	38.1223321290176
PML	PIN1	52.113720932011894
PML	SATB1	34.89337184245525
PML	BANP	41.88058554248147
PML	PSME3	52.97521602230398
PML	TGIF1	26.48760801115199
PML	SP100	26.48760801115199
PML	EIF4E	37.459134484193385
PML	MYC	109.21120559993618
PML	JUN	88.34719198676281
PML	HDAC1	153.3081151410676
PML	PSMA3	65.55348534733842
PML	RBX1	63.19117606409412
PML	NPM1	89.82384899765258
PML	CSNK2A1	91.46630527868
PML	AXIN1	49.553777086449735
PML	CHEK2	56.18870172629008
PML	SP1	85.34639486162997
PML	RBL2	37.77579689916207
PML	MDM2	135.70860759915573
PML	NCOR1	71.61703531825847
PML	HDAC7	48.660843100633755
PML	NR2C1	36.269651005156234
PML	TOPBP1	34.614391547819764
PML	SIN3A	77.78973509766453
PML	ZFYVE9	26.48760801115199
PML	RPL11	78.9090693843422
PML	MYB	25.146985850310028
PML	ANKRD2	12.551474499848938
PML	SRF	30.90246717300547
PML	NR4A1	28.554046795882627
PML	MAPK7	35.171916689863146
PML	HIPK2	44.84548105433128
PML	RNF111	35.104316180208485
PML	RUNX1	42.28279529664163
PML	ZMYM2	32.12736842971619
PML	SIRT1	68.66496880978502
PML	ATRX	30.2375205229378
PML	SUMO2	60.690734344711345
PML	PYCARD	24.776888543224867
PML	FBXO3	20.172409048252245
PML	HHEX	13.243804005575996
PML	ARID3A	20.940292771240735
PML	PKM	36.300153803420216
PML	KAT6A	32.5325847646542
PML	H3F3A	49.553777086449735
PML	MAGEA2	18.729567242096692
PML	SYNE2	19.21881923862414
PML	CSNK2A3	9.364783621048346
RPA2	STAT3	36.86157370583873
RPA2	MCM5	19.65177488928721
RPA2	RPA1	39.09318550435554
RPA2	MCM3	22.26708021495043
RPA2	EEF1A1	50.40674872476069
RPA2	XRCC6	52.17594188007224
RPA2	XRCC1	21.003021613066156
RPA2	LIG3	17.04059126070509
RPA2	XPA	18.07427645380918
RPA2	RPA4	9.622261837472136
RPA2	CDC5L	44.74927011865819
RPA2	MCM4	22.337786410597143
RPA2	SERTAD3	9.644357683616734
RPA2	PRPF19	41.30366550649239
RPA2	PARP1	45.75624403468492
RPA2	HERC2	40.44363329395679
RPA2	BLM	39.506985572364286
RPA2	TOP3A	18.07427645380918
RPA2	MEN1	31.880027082806333
RPA2	TP53BP1	30.206017343939994
RPA2	ATR	34.60960445991802
RPA2	CDK7	30.12379408968197
RPA2	WRN	30.12379408968197
RPA2	PRKDC	47.17651492537139
RPA2	GAPDH	32.42909622848661
RPA2	HNRNPUL1	21.654171746244973
RPA2	DDX1	18.758554439917358
RPA2	ATRIP	16.776803391729256
RPA2	UNG	13.471770264947056
RPA2	RPA3	20.23781625145444
RPA2	NKX2-1	20.87037675202889
RPA2	HNRNPF	24.84071697522315
RPA2	FBXO18	15.940013541403166
RPA2	HLTF	18.50315238352827
RPA2	PRIM1	11.008469504788957
RPA2	RFWD3	19.98186445148014
RPA2	CHD1L	20.87037675202889
RPA2	RBM14	16.83410378714118
RPA2	APITD1	25.56088689105763
RPA2	STRA13	23.333790566783936
RPA2	SMARCAL1	10.435188376014445
RPA2	ZUFSP	15.940013541403166
STAT3	EP300	90.7484444510494
STAT3	CAPN1	20.29226610703941
STAT3	RB1	62.10593873689225
STAT3	CDKN1A	35.76202443001251
STAT3	TRIP10	21.19458070765604
STAT3	EGFR	106.67705017852447
STAT3	CREBBP	61.9948059084329
STAT3	SMARCA4	55.74080706268053
STAT3	FGFR1	27.12886134839765
STAT3	PTK2	41.04312905530044
STAT3	MAPK8	46.595953489952734
STAT3	JAK2	21.168246234788484
STAT3	NFKB1	36.392387801350736
STAT3	PIAS3	22.69311001192212
STAT3	RELA	62.39515615736793
STAT3	AR	72.90853613433244
STAT3	SRC	59.31958897158573
STAT3	TRIM28	52.63202336476307
STAT3	BMX	12.81560282754796
STAT3	STAT1	41.49665806139685
STAT3	MTOR	36.77877837295742
STAT3	RAC1	43.26325670499477
STAT3	SIAH1	36.77604055198601
STAT3	NCOA1	38.30616402967294
STAT3	HDAC3	58.36532423378233
STAT3	HDAC2	71.08878482538677
STAT3	HIF1A	66.46227605570371
STAT3	SRI	12.236696876926466
STAT3	JUN	57.72038372781012
STAT3	PTPN11	44.120038032068436
STAT3	ERBB2	33.832827265228026
STAT3	RET	14.46049700475467
STAT3	HDAC1	100.16168070011301
STAT3	HDAC6	49.705697687019764
STAT3	NFKB2	25.226596866116783
STAT3	JAK1	27.362086036866955
STAT3	NR3C1	27.25095898704555
STAT3	KDM1A	57.395195879718045
STAT3	SP1	55.75985552474138
STAT3	CCND1	36.7100906307794
STAT3	CDK9	50.82281914058623
STAT3	HSP90B1	26.669262544631117
STAT3	SIN3A	50.82281914058623
STAT3	PELP1	24.473393753852932
STAT3	PRKCD	31.197578078683964
STAT3	MYOD1	18.450130769923643
STAT3	NR4A1	18.655381127304388
STAT3	MAP3K7	40.14483641447947
STAT3	NDUFA13	21.19458070765604
STAT3	DNMT1	31.15639444594496
